BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,_id
BROOKLYN,,,12/14/2021,8:13,0,0,,,65226c0c27407f3e1fedf8b2
,Passing Too Closely,Unspecified,12/14/2021,17:05,0,0,Sedan,Tractor Truck Diesel,65226c0c27407f3e1fedf8b4
BRONX,Unspecified,Unspecified,12/14/2021,8:17,2,0,Sedan,Sedan,65226c0c27407f3e1fedf8b5
BROOKLYN,Driver Inexperience,Unspecified,12/14/2021,21:10,0,0,Sedan,,65226c0c27407f3e1fedf8b6
MANHATTAN,Passing Too Closely,Unspecified,12/14/2021,14:58,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8b7
,Passing or Lane Usage Improper,Unspecified,12/13/2021,0:34,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8b8
QUEENS,Turning Improperly,Unspecified,12/14/2021,16:50,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8b9
,Unsafe Lane Changing,Unspecified,12/14/2021,8:30,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf8ba
,Unsafe Speed,,12/14/2021,0:59,0,0,Sedan,,65226c0c27407f3e1fedf8bb
QUEENS,Reaction to Uninvolved Vehicle,Unspecified,12/14/2021,23:10,2,0,Sedan,Sedan,65226c0c27407f3e1fedf8bc
BROOKLYN,Passing Too Closely,Unspecified,12/14/2021,17:58,0,0,Tanker,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8bd
BROOKLYN,Steering Failure,,12/14/2021,20:03,4,0,Sedan,,65226c0c27407f3e1fedf8be
,Traffic Control Disregarded,Unspecified,12/14/2021,1:28,3,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8bf
BRONX,Unspecified,Unspecified,12/11/2021,19:43,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf8c0
,Following Too Closely,Unspecified,12/14/2021,14:30,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf8c1
MANHATTAN,Following Too Closely,Unspecified,12/11/2021,4:45,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8c2
,Other Vehicular,Other Vehicular,12/14/2021,5:46,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8c3
QUEENS,Unspecified,,12/13/2021,6:30,0,0,Sedan,,65226c0c27407f3e1fedf8c4
,Unspecified,,12/14/2021,3:43,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8c5
STATEN ISLAND,Unspecified,Unspecified,12/13/2021,17:40,1,0,Sedan,Sedan,65226c0c27407f3e1fedf8c6
BROOKLYN,Unspecified,,12/14/2021,17:31,1,0,Sedan,,65226c0c27407f3e1fedf8c7
BROOKLYN,Passing Too Closely,Unspecified,12/14/2021,20:13,0,0,Sedan,,65226c0c27407f3e1fedf8c8
BROOKLYN,Unspecified,Unspecified,12/14/2021,12:54,1,0,Sedan,Bike,65226c0c27407f3e1fedf8c9
BROOKLYN,Passing or Lane Usage Improper,Unspecified,12/14/2021,17:15,1,0,Bus,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8ca
BRONX,Driver Inattention/Distraction,Unspecified,12/14/2021,22:49,0,0,Taxi,,65226c0c27407f3e1fedf8cb
QUEENS,Passing Too Closely,Unspecified,12/12/2021,9:00,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8cc
,Driver Inattention/Distraction,Driver Inattention/Distraction,12/14/2021,16:25,1,0,Van,Bike,65226c0c27407f3e1fedf8cd
,Driver Inattention/Distraction,Unspecified,4/14/2021,14:30,0,0,Bus,,65226c0c27407f3e1fedf8ce
,Traffic Control Disregarded,,12/16/2021,6:59,1,0,,,65226c0c27407f3e1fedf8cf
,Driver Inattention/Distraction,Unspecified,6/29/2022,16:00,1,0,Motorscooter,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8d0
,Pavement Slippery,,4/15/2021,16:15,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8d1
,Unsafe Lane Changing,Unspecified,7/7/2021,11:42,1,0,Sedan,Sedan,65226c0c27407f3e1fedf8d2
BROOKLYN,Oversized Vehicle,Unspecified,7/12/2022,17:50,0,0,Sedan,,65226c0c27407f3e1fedf8d3
,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,3/23/2022,10:00,0,0,Bike,,65226c0c27407f3e1fedf8d4
,Unspecified,,7/9/2021,0:43,0,1,Bus,,65226c0c27407f3e1fedf8d5
,Driver Inattention/Distraction,Unspecified,4/24/2022,16:45,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8d6
,Unspecified,Unspecified,4/24/2022,4:49,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf8d7
,Traffic Control Disregarded,,4/22/2022,17:17,1,0,E-Bike,,65226c0c27407f3e1fedf8d8
BROOKLYN,Unspecified,,4/24/2022,1:30,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8d9
QUEENS,Unsafe Lane Changing,Unspecified,4/24/2022,6:00,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8da
BRONX,Alcohol Involvement,Unspecified,4/24/2022,21:40,0,0,Taxi,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8db
BRONX,Driver Inattention/Distraction,Unspecified,4/24/2022,17:45,0,0,Sedan,,65226c0c27407f3e1fedf8dc
,Driver Inattention/Distraction,Unspecified,4/15/2022,6:11,1,0,Station Wagon/Sport Utility Vehicle,E-Scooter,65226c0c27407f3e1fedf8dd
,Unspecified,Unspecified,4/24/2022,9:51,0,0,Sedan,,65226c0c27407f3e1fedf8de
BRONX,Driver Inattention/Distraction,Unspecified,4/24/2022,0:00,0,0,Sedan,,65226c0c27407f3e1fedf8df
BROOKLYN,Unspecified,Unspecified,3/8/2022,20:00,0,0,Sedan,,65226c0c27407f3e1fedf8e0
MANHATTAN,View Obstructed/Limited,Unspecified,4/24/2022,15:35,1,0,Station Wagon/Sport Utility Vehicle,Bike,65226c0c27407f3e1fedf8e1
BROOKLYN,Unspecified,Unspecified,4/22/2022,12:00,1,0,Sedan,Pick-up Truck,65226c0c27407f3e1fedf8e2
,Turning Improperly,Unspecified,4/24/2022,13:10,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8e3
BROOKLYN,Traffic Control Disregarded,Unspecified,4/24/2022,4:20,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8e4
,Driver Inexperience,Unspecified,4/20/2022,19:37,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8e5
,Unspecified,Unspecified,4/24/2022,16:14,0,0,Sedan,Sedan,65226c0c27407f3e1fedf8e6
BROOKLYN,Failure to Yield Right-of-Way,,4/12/2022,19:56,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8e7
,Driver Inattention/Distraction,Unspecified,4/24/2022,0:30,1,0,Sedan,Sedan,65226c0c27407f3e1fedf8e8
QUEENS,Aggressive Driving/Road Rage,,4/24/2022,20:13,0,0,Sedan,,65226c0c27407f3e1fedf8e9
QUEENS,Driver Inattention/Distraction,Driver Inattention/Distraction,4/24/2022,15:21,1,0,Sedan,Sedan,65226c0c27407f3e1fedf8ea
,Traffic Control Disregarded,Traffic Control Disregarded,4/24/2022,10:27,1,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8eb
QUEENS,Driver Inattention/Distraction,Unspecified,4/24/2022,21:00,1,0,Sedan,Sedan,65226c0c27407f3e1fedf8ec
QUEENS,Reaction to Uninvolved Vehicle,Unspecified,4/24/2022,21:40,0,0,Ambulance,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8ed
MANHATTAN,Driver Inattention/Distraction,Passing or Lane Usage Improper,4/7/2022,14:14,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8ee
,Passing or Lane Usage Improper,Unspecified,6/29/2021,17:35,0,0,Station Wagon/Sport Utility Vehicle,E-Bike,65226c0c27407f3e1fedf8ef
BROOKLYN,Driver Inattention/Distraction,Unspecified,12/9/2021,20:20,1,0,Bike,,65226c0c27407f3e1fedf8f0
,Unspecified,Unspecified,12/9/2021,14:50,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf8f1
QUEENS,Alcohol Involvement,,12/9/2021,2:45,1,0,Sedan,,65226c0c27407f3e1fedf8f2
,Unsafe Speed,Unspecified,12/6/2021,22:16,0,0,Sedan,,65226c0c27407f3e1fedf8f3
BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,12/4/2021,12:00,0,0,Sedan,Ambulance,65226c0c27407f3e1fedf8f4
MANHATTAN,Failure to Yield Right-of-Way,Unspecified,12/8/2021,16:20,0,0,Taxi,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8f5
BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,12/9/2021,23:15,1,0,Sedan,Bike,65226c0c27407f3e1fedf8f6
QUEENS,Unsafe Speed,Unspecified,12/1/2021,14:34,0,0,Sedan,Pick-up Truck,65226c0c27407f3e1fedf8f7
QUEENS,Passing or Lane Usage Improper,Unspecified,12/10/2021,7:00,0,0,Sedan,,65226c0c27407f3e1fedf8f8
,Steering Failure,,12/7/2021,9:20,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf8f9
,Following Too Closely,Unspecified,12/9/2021,8:00,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf8fa
BROOKLYN,Following Too Closely,Unspecified,12/7/2021,17:08,0,0,,,65226c0c27407f3e1fedf8fb
BROOKLYN,Unspecified,,12/5/2021,8:20,0,0,Sedan,,65226c0c27407f3e1fedf8fc
MANHATTAN,Following Too Closely,Reaction to Uninvolved Vehicle,12/8/2021,19:30,1,0,Station Wagon/Sport Utility Vehicle,Bike,65226c0c27407f3e1fedf8fd
MANHATTAN,Passing or Lane Usage Improper,Unspecified,12/8/2021,12:00,1,0,Box Truck,Bike,65226c0c27407f3e1fedf8fe
,Unsafe Lane Changing,Unspecified,12/10/2021,8:06,0,0,Garbage or Refuse,Sedan,65226c0c27407f3e1fedf8ff
,Unsafe Speed,Unspecified,12/8/2021,19:30,4,0,Taxi,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf900
STATEN ISLAND,Pavement Slippery,,12/8/2021,22:37,0,0,Sedan,,65226c0c27407f3e1fedf901
,Unspecified,,12/8/2021,17:56,0,0,Sedan,,65226c0c27407f3e1fedf902
,Driver Inattention/Distraction,Unspecified,12/7/2021,7:50,0,0,Sedan,Sedan,65226c0c27407f3e1fedf903
QUEENS,View Obstructed/Limited,,12/8/2021,0:44,0,0,Sedan,,65226c0c27407f3e1fedf904
,Passing Too Closely,,12/8/2021,15:00,0,0,Sedan,,65226c0c27407f3e1fedf905
BRONX,Oversized Vehicle,Unspecified,12/10/2021,11:00,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf906
,Driver Inattention/Distraction,Unspecified,12/10/2021,1:10,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf907
,Unspecified,,12/9/2021,0:00,1,0,Sedan,,65226c0c27407f3e1fedf908
,Passing or Lane Usage Improper,Unspecified,12/8/2021,18:36,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf909
QUEENS,Illnes,,12/9/2021,20:30,0,0,Sedan,,65226c0c27407f3e1fedf90a
BROOKLYN,Traffic Control Disregarded,Traffic Control Disregarded,12/9/2021,10:13,2,0,Sedan,Sedan,65226c0c27407f3e1fedf90b
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,3/26/2022,14:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf90c
MANHATTAN,Traffic Control Disregarded,Unspecified,3/26/2022,1:02,1,0,Sedan,Moped,65226c0c27407f3e1fedf90d
QUEENS,Lost Consciousness,Unspecified,3/26/2022,16:02,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf90e
QUEENS,Following Too Closely,Unspecified,3/26/2022,16:05,1,0,Station Wagon/Sport Utility Vehicle,Bus,65226c0c27407f3e1fedf90f
MANHATTAN,Following Too Closely,Unspecified,3/21/2022,12:05,1,0,Motorcycle,Sedan,65226c0c27407f3e1fedf910
QUEENS,Failure to Yield Right-of-Way,Unspecified,3/26/2022,5:13,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf911
